timestep,qx1,qy1,qz1,px1,py1,pz1,qx2,qy2,qz2,px2,py2,pz2,qx3,qy3,qz3,px3,py3,pz3
0.0,-4.6111358427368987e8,-1.6812905353730696e8,1.9751235285027318e6,0.0008656480031850596,-0.0030719619342634806,0.0005529880006555551,-5.497119825522424e8,-1.9370520808525294e8,-4.2324075610773504e7,0.0004262596450505123,-0.0004775251572844791,-0.0005529880006555551,4.8676681012612784e8,1.7716862991461876e8,3.1718745192101715e-8,-0.0012919076482355721,0.00354948709154796,0.0
2.0215205309018665e10,-4.6054777123267424e8,-1.702042503069471e8,2.33516886730068e6,0.0008145177845652162,-0.003087957448244902,0.0005145809288753112,-5.430561943695314e8,-2.0044319477021062e8,-5.0039394200810574e7,0.0004948288244544455,-0.0004551331888527089,-0.0005145896473086632,4.8589039363247603e8,1.7955826605522004e8,2.876486952857954,-0.0013093466090196618,0.0035430906370976104,8.718433352231276e-9
4.043041061803733e10,-4.6001471265251464e8,-1.7229141705478302e8,2.6672243874457474e6,0.0007685574774687164,-0.0031074437242742388,0.0004699924029435811,-5.354469568849699e8,-2.068317155595591e8,-5.715506440002809e7,0.0005581946338041135,-0.0004291666680877079,-0.00047001082833877776,4.8500223729567003e8,1.819435637644065e8,11.978097826603621,-0.00132675211127283,0.0035366103923619462,1.84253951969955e-8
6.0645615927056e10,-4.595106746280501e8,-1.7439280874425083e8,2.9672942664599135e6,0.0007284999101536935,-0.0031301256746629215,0.0004197366127965237,-5.269647711633943e8,-2.128212415098498e8,-6.358547337265985e7,0.0006156234677569869,-0.00039992089061941134,-0.0004197654015271265,4.8410236392747265e8,1.8432446665461215e8,27.861092453518033,-0.0013441233779106804,0.003530046565282333,2.8788730603227934e-8
8.086082123607466e10,-4.5903145056978565e8,-1.7651046898543888e8,3.2317507964143264e6,0.0006950136728786223,-0.003155671744460566,0.00036439079016286594,-5.1770027786415076e8,-2.1836677519916248e8,-6.925289141783099e7,0.0006664460408677275,-0.0003677275520533471,-0.0003644302359642555,4.831907968365162e8,1.8670091845599183e8,50.846917290886346,-0.00136145971374635,0.0035233992965139132,3.944580138994373e-8
1.0107602654509332e11,-4.58572406900828e8,-1.7864620659983194e8,3.4573748766655303e6,0.0006686965688363383,-0.0031837171189184276,0.00030458960626367443,-5.077532767536486e8,-2.234283519146467e8,-7.408833932290785e7,0.000710063947527346,-0.00033295153757467434,-0.0003046396225400737,4.822675597691289e8,1.890728629699286e8,81.00597902488852,-0.0013787605163636842,0.0035166686564931013,5.0016276399654276e-8
1.2129123185411198e11,-4.581285327719542e8,-1.8080157432651445e8,3.641392767137617e6,0.0006500695916038678,-0.0032138671320998957,0.00024101922204284128,-4.9723165998143923e8,-2.2797149492603508e8,-7.803237577720134e7,0.0007459556927742859,-0.0002959875125846442,-0.0002410793381522931,4.8133267684391993e8,1.9144024402134293e8,118.15035015502248,-0.0013960252843781538,0.003509854644684539,6.011610945227576e-8
1.4150643716313068e11,-4.5769449367965436e8,-1.829778498849823e8,3.7815087292868844e6,0.0006395714306543597,-0.0032457008769690753,0.00017441099078222604,-4.862502616225147e8,-2.319676202668067e8,-8.103579687361524e7,0.0007736821920441994,-0.00025725631434997577,-0.0001744803632289477,4.8038617248176044e8,1.938030054112962e8,161.83622357428763,-0.001413253622698559,0.00350295719131905,6.937244672216302e-8
1.6172164247214932e11,-4.572646886932545e8,-1.8517601964105117e8,3.8759331284836186e6,0.0006375535146242525,-0.0032787750140797016,0.00010553481864834209,-4.7492962982865125e8,-2.3539438578021276e8,-8.306023857666989e7,0.0007928917297791882,-0.0002172011478286999,-0.00010561225774080837,4.794280713332636e8,1.9616109087171507e8,211.37670782551135,-0.0014304452444034402,0.0034959761619084008,7.743909246678719e-8
1.81936847781168e11,-4.568333107364568e8,-1.873967647646289e8,3.9234061930638407e6,0.0006442755001208067,-0.0033126277633562977,3.519221024290951e-5,-4.6339473352913547e8,-2.3823598685393852e8,-8.407868634166314e7,0.0008033244688826639,-0.0001762836013513124,-3.527622236382322e-5,4.7845839820632094e8,1.9851444402411178e8,265.8649990018625,-0.0014475999690034698,0.0034889113647076095,8.40121209142077e-8
