timestep,qx1,qy1,qz1,px1,py1,pz1,qx2,qy2,qz2,px2,py2,pz2,qx3,qy3,qz3,px3,py3,pz3
0.0,-6.345537609712155e7,-1.8219158704259913e7,6.47161195483476e6,-0.00016103627560901194,-6.314156067984485e-5,2.484640444418002e-20,-6.345537609712155e7,-2.7972577502778705e7,-6.471611954834768e6,0.00020699957287416542,-6.314156067984482e-5,-2.484640444418002e-20,1.269107521942431e8,4.619173620703862e7,8.269770508683845e-9,-4.5963297265153506e-5,0.00012628312135968967,0.0
2.0215205309018665e10,-6.564738074011387e7,-1.979617633595002e7,5.58550703530939e6,-0.00013267756831288822,-0.00015702232315685136,-0.0001250321386184491,-6.058663849728363e7,-2.821420030605599e7,-5.585512525142323e6,0.0001804466237683022,3.141088753189043e-5,0.00012503175779709125,1.2623401926654574e8,4.801037654838533e7,5.448959655747523,-4.776905545541393e-5,0.000125611435624961,3.808213578141206e-10
4.043041061803733e10,-6.680677116352945e7,-2.2866225914300337e7,2.7116111360974433e6,4.872657931961843e-6,-0.00027447844274937263,-0.00028135055997197665,-5.87245048874233e7,-2.695289049976799e7,-2.7116143349912087e6,4.469381827714927e-5,0.00014956672164384105,0.00028135134550936395,1.2553127615251255e8,4.981911624096852e7,3.1350469691801415,-4.956647620911103e-5,0.00012491172110553158,-7.855373872557078e-10
6.0645615927056e10,-6.233446397226077e7,-2.702794212302768e7,-1.6177278874835146e6,0.0007613912983986554,-5.301920808433897e-5,1.2008333536975805e-5,-6.2468165709340855e7,-2.458961585359569e7,1.6177399761949677e6,-0.0007100349065913452,-7.116653239538108e-5,-1.2007289556297896e-5,1.2480262975406548e8,5.16175577909832e7,-12.08672788427248,-5.135639180730944e-5,0.00012418574047971993,-1.043980677860602e-9
8.086082123607466e10,-5.7983958076620206e7,-2.4622278727767155e7,2.760243812305477e6,3.5345234437296467e-6,0.0001485894238486787,0.00027904243255179344,-6.6064254221684314e7,-2.8783057175747328e7,-2.760217361679365e6,4.9601853305320115e-5,-0.00027202365388425716,-0.00027904182963127405,1.2404821245532429e8,5.3405335662715554e7,-26.44021197462022,-5.31363767490487e-5,0.00012343423003557824,-6.029205193807162e-10
1.0107602654509332e11,-5.9126186673389584e7,-2.336525804361024e7,5.6066148425388625e6,-0.0001297003651834155,3.17328714342694e-5,0.00012344884418216426,-6.4141975536079444e7,-3.1816824568545986e7,-5.606597741722075e6,0.00018460620293984966,-0.00015439131083236013,-0.00012345097926299368,1.2326816236212279e8,5.518208232431023e7,-17.071008326954264,-5.490583775643311e-5,0.00012265843939809055,2.135080829465483e-9
1.2129123185411198e11,-6.125689571203763e7,-2.3595276269691702e7,6.472045804006021e6,-0.00015560074237732944,-6.191044003417729e-5,-1.3450939042451277e-6,-6.120576787713694e7,-3.335218387330827e7,-6.4720805278311465e6,0.00021226176557988952,-5.994883501149109e-5,1.3402802285406522e-6,1.22462663742801e8,5.694745977600802e7,34.72999589518126,-5.6661023202558945e-5,0.00012185927504566825,4.8136757044853556e-9
1.4150643716313068e11,-6.336684493157352e7,-2.515449044087764e7,5.566073274697785e6,-0.00012668697983671362,-0.00015583918947158936,-0.00012650373768569758,-5.826507798530541e7,-3.354662775549607e7,-5.566185454469258e6,0.00018508941408563155,3.480439309280313e-5,0.0001264982063137356,1.2163192310253334e8,5.870111773751381e7,112.1444717402149,-5.840243424891678e-5,0.00012103479637878613,5.53137196196787e-9
1.6172164247214932e11,-6.442852549236177e7,-2.821018703635165e7,2.6670623152308385e6,1.3104696067028456e-5,-0.00027374583859888867,-0.00028344217156772976,-5.6347595323036194e7,-3.2232489571971886e7,-2.6672484472830733e6,4.702808178188461e-5,0.00015356264059165946,0.0002834375791499896,1.2077612107938401e8,6.044267606945217e7,186.0699485376362,-6.0132777848911915e-5,0.00012018319800722896,4.592417740182645e-9
1.81936847781168e11,-5.975507509766664e7,-3.2301263314752877e7,-1.6123410495545783e6,0.0007651985766032594,-3.3612967509720956e-5,3.46893301146e-5,-6.014032646547251e7,-2.9870484087165914e7,1.6120921037812526e6,-0.0007033452157523376,-8.569290047551565e-5,-3.4693703364070134e-5,1.1989540180222085e8,6.2171746855068326e7,248.95229401048783,-6.185336085092085e-5,0.0001193058679852364,4.373249469917285e-9
