timestep,qx1,qy1,qz1,px1,py1,pz1,qx2,qy2,qz2,px2,py2,pz2,qx3,qy3,qz3,px3,py3,pz3
0.0,-6.456358436197076e9,-2.346812354739213e9,4.424944920983039e6,0.0034717514149790697,-0.010292905211544813,0.00013165050963342552,-6.537391797141063e9,-2.4460575479669847e9,-9.482024830678885e7,0.0004995405457506422,-0.0006181297766217434,-0.00013165050963342552,2.0284310160190976e8,7.382885120933017e7,1.3217681484938254e-8,-0.003971291960729711,0.010911034988166556,0.0
2.0215205309018665e10,-6.454020543476072e9,-2.353753451331554e9,4.506938496810051e6,0.003467419383847558,-0.01030877403340418,0.00011164130241859453,-6.530060647946862e9,-2.454837708590136e9,-9.657725597204249e7,0.0005157349536475514,-0.0005979363409002532,-0.00011164164344108647,2.0276270121140784e8,7.40493763319728e7,0.0034565579555273017,-0.003983154337495107,0.010906710374304433,3.4102249195377497e-10
4.043041061803733e10,-6.45168525318048e9,-2.360705384839432e9,4.575301154203559e6,0.00346402286759949,-0.010325078743186842,9.118421114737928e-5,-6.522502480755304e9,-2.463323111626597e9,-9.804217740502265e7,0.0005309891004502463,-0.000577294136584353,-9.118488625405169e-5,2.0268206106847185e8,7.42698139014602e7,0.013740924910566363,-0.003995011968049735,0.010902372879771194,6.751066724010885e-10
6.0645615927056e10,-6.449351942356457e9,-2.3676684676306386e9,4.629712460790307e6,0.0034615419361407464,-0.010341875739830716,7.022289291169729e-5,-6.514730713216211e9,-2.471506877514202e9,-9.920814608008933e7,0.0005453229015806477,-0.0005561467678894572,-7.022389275856493e-5,2.0260118126919645e8,7.449016365743905e7,0.03068841582349059,-0.004006864837721393,0.010898022507720172,9.998468676608686e-10
8.086082123607466e10,-6.447019997130807e9,-2.37464305222547e9,4.669811869369048e6,0.0034599696740640357,-0.010359228102876422,4.869432419880321e-5,-6.506758568602905e9,-2.4793812663243217e9,-1.0006743583402316e8,0.0005587432581956905,-0.0005344311582657307,-4.869563711972806e-5,2.0252006190996832e8,7.471042533961818e7,0.05408656103587032,-0.004018712932259726,0.010893659261142146,1.3129209248893817e-9
1.0107602654509332e11,-6.444688803638967e9,-2.3816295364196963e9,4.695193595392572e6,0.0034593130267440452,-0.010377206650978367,2.6527743105578226e-5,-6.498599270207222e9,-2.4869375679818163e9,-1.0061135109895569e8,0.0005712432111027961,-0.0005120764918993576,-2.6529355215546948e-5,2.0243870308745912e8,7.493059868776545e7,0.08367676081667284,-0.0040305562378468406,0.01088928314287772,1.6121099687568865e-9
1.2129123185411198e11,-6.442357738463046e9,-2.3886283682591815e9,4.70540164262551e6,0.003459593948284455,-0.010395891089992716,3.643502003714995e-6,-6.4902662462300005e9,-2.4941659956635733e9,-1.0083012031131451e8,0.0005828007928160241,-0.0004890030656402127,-3.645397320613784e-6,2.0235710489861342e8,7.51506834417045e7,0.11915707507981742,-0.004042394741100479,0.010884894155632922,1.8953168988268224e-9
1.4150643716313068e11,-6.440026157600481e9,-2.395640053320785e9,4.699922524075656e6,0.0034608516506541127,-0.010415371705489387,-2.004862407279894e-5,-6.481773366163582e9,-2.501055529777895e9,-1.007127399332864e8,0.0005933767784346425,-0.0004651205965035121,2.0046463483294903e-5,2.0227526744064343e8,7.537067934131263e7,0.16018433135398494,-0.004054228429088755,0.010880492301992893,2.1605895040667348e-9
1.6172164247214932e11,-6.437693384133665e9,-2.40266516191714e9,4.678178058774074e6,0.0034631453631241357,-0.010435751196353586,-4.465127002076285e-5,-6.4731352050054e9,-2.5075937635743256e9,-1.0024682010062543e8,0.0006029119262105986,-0.00044032638808671424,4.4648863878688246e-5,2.0219319081101748e8,7.55905861265183e7,0.20637765346826759,-0.004066057289334734,0.010876077584440296,2.4061420746356348e-9
1.81936847781168e11,-6.435358693499177e9,-2.409704338276505e9,4.639516194664784e6,0.003466558392168925,-0.010457147050274382,-7.028185491170077e-5,-6.4643673589114485e9,-2.5137667064313955e9,-9.94183879728069e7,0.0006113229176567374,-0.0004145029551002999,7.02792245314224e-5,2.0211087510745132e8,7.581040353729914e7,0.25732198621065216,-0.004077881309825662,0.010871650005374676,2.6303802784038927e-9
2.0215205309018668e11,-6.433021294897985e9,-2.4167583120964437e9,4.583199458887013e6,0.0034712039700676434,-0.010479694614271987,-9.707565090044227e-5,-6.455486843542957e9,-2.5195585362768426e9,-9.821164024191903e7,0.0006184965089564428,-0.0003875149528630974,9.707281897053727e-5,2.0202832042789966e8,7.60301313136809e7,0.31257207634859757,-0.004089700479024085,0.010867209567135078,2.831929905041126e-9
2.2236725839920532e11,-6.430680309717357e9,-2.4238279105934563e9,4.5083929123792695e6,0.0034772326150647593,-0.010503550496489593,-0.00012518918308658747,-6.446512556445531e9,-2.524951341380193e9,-9.660868502063419e7,0.0006242821708045388,-0.00035920577553786676,0.0001251861734225491,2.0194552687054443e8,7.624976919573598e7,0.3716575098741393,-0.004101514785869296,0.010862756272027452,3.0096640384060977e-9
2.42582463708224e11,-6.428334741924019e9,-2.4309140754037995e9,4.41414725601172e6,0.0034848433009255944,-0.010528897295287056,-0.00015480495586857532,-6.437465911475973e9,-2.5299247581924334e9,-9.458917983438912e7,0.0006284809188621286,-0.0003293928270693658,0.0001548017931296307,2.018624945337869e8,7.646931692358343e7,0.43408779327994373,-0.004113324219787722,0.010858290122356416,3.1627389446440997e-9
