timestep,qx1,qy1,qz1,px1,py1,pz1,qx2,qy2,qz2,px2,py2,pz2,qx3,qy3,qz3,px3,py3,pz3
0.0,-3.806974952032304e10,-1.3855110626090542e10,3.4210143025890184e6,0.050335520587325586,-0.1398657388599866,0.00031926777103711776,-3.812090182941893e10,-1.3899409825229818e10,-7.330744934124888e7,0.003017324828112893,-0.006719999182583647,-0.00031926777103711776,1.1954617481708773e6,435112.492538038,7.789879216972768e-11,-0.05335284541543847,0.14658573804257027,0.0
2.0215205309018665e10,-3.803572727439247e10,-1.394932718210678e10,3.615230789076976e6,0.05064590300508018,-0.1397751123954033,0.00025660096451633616,-3.807694265543163e10,-1.3996141509223135e10,-7.746923222113115e7,0.0030701287710796403,-0.006677926687229759,-0.000256601104687635,1.1943795379493774e6,438074.4135761156,1.437274284483015e-6,-0.05371603177615981,0.14645303908263316,1.4017129888585075e-10
4.043041061803733e10,-3.800149328997119e10,-1.4043483008633335e10,3.7661343584339004e6,0.0509640374496864,-0.13968541842039356,0.00019083654218477218,-3.803227891035658e10,-1.4092251944295685e10,-8.070288308629525e7,0.003114850603223338,-0.00663402187569011,-0.00019083680779001186,1.1932899891736344e6,441033.6429810139,5.567796279945575e-6,-0.05407888805290974,0.14631944029608365,2.656052397089169e-10
6.0645615927056e10,-3.7967042224586464e10,-1.4137578587394573e10,3.871892457099897e6,0.051290261784611935,-0.13959621877545533,0.00012273571933323367,-3.798702985805686e10,-1.4187717820680677e10,-8.296913268369803e7,0.0031511502347209854,-0.006588723723191879,-0.00012273609087019914,1.1921931085388728e6,443990.16257079,1.20441803070275e-5,-0.054441412019332905,0.1461849424986472,3.7153696545923927e-10
8.086082123607466e10,-3.7932368538525444e10,-1.4231614099325373e10,3.931195014496793e6,0.051624823066752916,-0.13950705953966583,5.308685969400833e-5,-3.7941319021087776e10,-1.4282522285914112e10,-8.423990776183045e7,0.003178778386005028,-0.006542486971360446,-5.308731382190727e-5,1.1910889027852856e6,446943.9541800408,2.043165881957769e-5,-0.05480360145275793,0.14604954651102625,4.541278989685593e-10
1.0107602654509332e11,-3.789746655698049e10,-1.4325589415339298e10,3.9432703260210124e6,0.051967874786243755,-0.1394174751886447,-1.730174154065444e-5,-3.789527284896337e10,-1.4376655142734295e10,-8.449867143530491e7,0.0031975793477430213,-0.006495777970504909,1.7301230893536416e-5,1.1899773786979627e6,449894.99966000684,3.022879648991464e-5,-0.055165454133986755,0.1459132531591496,5.106471180503751e-10
1.2129123185411198e11,-3.786233053388994e10,-1.4419504089959856e10,3.9078959674073267e6,0.052319474608734935,-0.1393269928642444,-8.760926578770659e-5,-3.7849019350088905e10,-1.4470112985631056e10,-8.374065708108158e7,0.003207493238285319,-0.006449070410192551,8.760872618585669e-5,1.1888585431068214e6,452843.2808786791,4.089129440930684e-5,-0.05552696784702022,0.14577606327443696,5.396018499394441e-10
1.4150643716313068e11,-3.782695471713189e10,-1.4513357357820688e10,3.825404732476352e6,0.05267958260688824,-0.1392351367788976,-0.00015701000979662506,-3.78026866947103e10,-1.4562899275924356e10,-8.197299559439446e7,0.0032085577718448254,-0.006402840915171839,0.0001570094689855344,1.1877324028865497e6,455788.7797209147,5.185786168884391e-5,-0.05588814037873302,0.14563797769406936,5.408110906579672e-10
1.6172164247214932e11,-3.7791333414721886e10,-1.4607148133257936e10,3.69668520890591e6,0.05304806005943273,-0.1391414327812054,-0.00022468130079633094,-3.775640179634937e10,-1.4655024350583065e10,-7.92147277458152e7,0.0032009094590793753,-0.006357564480045677,0.00022468078537834566,1.1865989649565443e6,458731.4780885543,6.257696395040746e-5,-0.05624896951851208,0.14549899726125098,5.154179852613619e-10
1.81936847781168e11,-3.7755461061625534e10,-1.4700875012978518e10,3.523177022621432e6,0.05342466885016178,-0.13904541310376248,-0.0002898117242995527,-3.7710288880074905e10,-1.474650536513697e10,-7.549670229416965e7,0.0031847842077142308,-0.00631370972168965,0.0002898112584592394,1.1854582362808697e6,461671.35790054715,7.253319456461878e-5,-0.05660945305787599,0.14535912282545202,4.658403132050116e-10
2.0215205309018668e11,-3.7719332286734e10,-1.4794536282023079e10,3.3068603737419024e6,0.053809071598473764,-0.13894662130713645,-0.00035160968840340444,-3.7664468047283745e10,-1.4837366165991262e10,-7.086135177448855e7,0.003160517191618874,-0.006271733935483778,0.0003516092927431251,1.1843102238682164e6,464608.4010930801,8.12720269130626e-5,-0.056969588790092604,0.1452183552426201,3.956602792132991e-10
2.2236725839920532e11,-3.768294197947543e10,-1.4888129923117983e10,3.0502397029765863e6,0.05420083264096074,-0.13884461741937504,-0.0004093123233133084,-3.761905384829181e10,-1.4927637090121696e10,-6.536234250789965e7,0.003128541868852247,-0.006232077955974758,0.0004093120138551703,1.1831549347718707e6,467542.5896197098,8.842176190893597e-5,-0.05732937450981297,0.14507669537534967,3.0945813802607664e-10
2.42582463708224e11,-3.764628535543178e10,-1.498165362955544e10,2.756321249877869e6,0.054599420019699633,-0.1387389832516253,-0.0004621946822596216,-3.757415387623971e10,-1.5017354689168383e10,-5.906409371995467e7,0.0030893879930394327,-0.006195160841375227,0.0004621944696629508,1.181992376089688e6,470473.905451499,9.371160044784907e-5,-0.05768880801273903,0.14493414409300043,2.125966706381894e-10
2.6279766901724268e11,-3.760935802023117e10,-1.5075104821702873e10,2.428584330445123e6,0.05500420863784072,-0.13862932784806287,-0.0005095791712469599,-3.752986739795933e10,-1.5106561375762135e10,-5.204116207021034e7,0.003043678457501016,-0.006161374423694992,0.0005095790602808867,1.180822554964077e6,473402.3305771532,9.698494075106046e-5,-0.058047887095341685,0.14479070227175775,1.1096607296215515e-10
2.830128743262613e11,-3.7572156030855705e10,-1.516848066721817e10,2.070946203813453e6,0.05541448474521181,-0.1385152930013759,-0.0005508450884364962,-3.7486284040223305e10,-1.5195304990438337e10,-4.437748880115336e7,0.0029921248094313957,-0.006131077793254633,0.0005508450777355685,1.1796454785819831e6,476327.84700315876,9.820721108886776e-5,-0.05840660955464318,0.1446463707946304,1.0700927710216466e-11
3.0322807963527997e11,-3.7534675953590065e10,-1.5261778104926813e10,1.6877206070183916e6,0.05582945187503167,-0.13839655875316278,-0.0005854381334913615,-3.744348254799108e10,-1.5283638290085697e10,-3.616551119885224e7,0.0029355213130440945,-0.006104591798223129,0.0005854382156089028,1.1784611541748887e6,479250.4367539243,9.746784136571373e-5,-0.05876497318807573,0.14450115055138577,-8.21175413348638e-11
3.2344328494429865e11,-3.7496914917035355e10,-1.5354993872499262e10,1.28356972061616e6,0.056248238415624895,-0.13827284871786685,-0.0006128796073081037,-3.740152964837581e10,-1.5371618354949244e10,-2.750513328184989e7,0.0028747373777993847,-0.006082193720550497,0.0006128797690673131,1.1772695890187859e6,482170.08187190676,9.497610501510515e-5,-0.05912297579342425,0.1443550424384172,-1.617592092891797e-10
3.436584902533173e11,-3.745887066002924e10,-1.5448124537446476e10,863450.403051128,0.05666990675411301,-0.13814393516097168,-0.0006327751825388641,-3.7360479023794914e10,-1.5459305924542048e10,-1.850257367336496e7,0.0028107084147448733,-0.006064112197588284,0.0006327754056674405,1.1760707904341894e6,485086.76441775315,9.105117706986878e-5,-0.05948061516885785,0.1442080473585598,-2.2312857644354995e-10
3.63873695562336e11,-3.742054157239906e10,-1.5541166531531898e10,432554.5255771515,0.05709346412169339,-0.13800964359950357,-0.0006448228432322674,-3.732037043867531e10,-1.5546764660332897e10,-9.269087052827327e6,0.0027444249913563127,-0.0060505226213459435,0.000644823105251339,1.1748647657861167e6,488000.46647042304,8.610664368663084e-5,-0.05983788911304966,0.1440601662208494,-2.6201907157358656e-10
3.840889008713547e11,-3.738192672817106e10,-1.563411618802636e10,-3755.5965419916806,0.057517874985934594,-0.13786985681519595,-0.0006488198042554621,-3.728122902782311e10,-1.5634060347517353e10,80419.47567257356,0.0026769204394465674,-0.0060415431250487525,0.0006488200795809052,1.1736515224840834e6,490911.17012731504,8.063031812301081e-5,-0.060194795425381115,0.14391139994024457,-2.753254431484905e-10
4.043041061803733e11,-3.734302590958172e10,-1.572696978144267e10,-440016.0456199722,0.057942074882721364,-0.13772451806255634,-0.0006446680338548651,-3.724306478187402e10,-1.5721260043641165e10,9.428861577382054e6,0.0026092570234999193,-0.006037231374761384,0.0006446682950567818,1.1724310679820743e6,493818.85750437784,7.516026426699326e-5,-0.06055133190622124,0.14376174943731757,-2.6120191672754674e-10
